2020:03:18 18:41:08.379 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init>(43) - Creating filter chain: Ant [pattern='/webjars/springfox-swagger-ui/**'], [] 
2020:03:18 18:41:08.379 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init>(43) - Creating filter chain: Ant [pattern='/swagger-ui.html/**'], [] 
2020:03:18 18:41:08.380 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init>(43) - Creating filter chain: Ant [pattern='/swagger-resources/**'], [] 
2020:03:18 18:41:08.380 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init>(43) - Creating filter chain: Ant [pattern='/v1/api-docs'], [] 
2020:03:18 18:41:08.467 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init>(43) - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@412ea7db, org.springframework.security.web.context.SecurityContextPersistenceFilter@195aa194, org.springframework.security.web.header.HeaderWriterFilter@6f8f48f7, org.springframework.security.web.authentication.logout.LogoutFilter@23911567, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3fb25c48, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@43c48b1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5ac81d83, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@37fdf809, org.springframework.security.web.session.SessionManagementFilter@6b16c3ea, org.springframework.security.web.access.ExceptionTranslationFilter@31ffcb45, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1dc4f04c] 
2020:03:18 18:41:08.724 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize(171) - Initializing ExecutorService 'applicationTaskExecutor' 
2020:03:18 18:41:09.629 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper.start(120) - Context refreshed 
2020:03:18 18:41:09.683 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper.start(123) - Found 1 custom documentation plugin(s) 
2020:03:18 18:41:09.705 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner.scan(41) - Scanning for api listing references 
2020:03:18 18:41:10.128 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator.startingWith(40) - Generating unique operation named: saveOrUpdateUsingPOST_1 
2020:03:18 18:41:10.155 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator.startingWith(40) - Generating unique operation named: getListUsingGET_1 
2020:03:18 18:41:10.180 [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator.startingWith(40) - Generating unique operation named: getUsingGET_1 
2020:03:18 18:41:10.245 [main] INFO  o.a.coyote.http11.Http11NioProtocol.log(173) - Starting ProtocolHandler ["http-nio-8081"] 
2020:03:18 18:41:10.284 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start(204) - Tomcat started on port(s): 8081 (http) with context path '' 
2020:03:18 18:41:10.288 [main] INFO  com.project.web.WebApplication.logStarted(61) - Started WebApplication in 18.384 seconds (JVM running for 22.968) 
2020:03:18 18:41:38.275 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log(173) - Initializing Spring DispatcherServlet 'dispatcherServlet' 
2020:03:18 18:41:38.276 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean(525) - Initializing Servlet 'dispatcherServlet' 
2020:03:18 18:41:38.292 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean(547) - Completed initialization in 16 ms 
2020:03:18 18:41:41.328 [http-nio-8081-exec-9] WARN  n.n.u.t.fragments.FragmentProcessor.invoke0(-2) - You don't need to put the layout:fragment/data-layout-fragment attribute into the <head> section - the decoration process will automatically copy the <head> section of your content templates into your layout page. 
2020:03:18 18:58:10.457 [http-nio-8081-exec-8] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(127) - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2020:03:18 18:58:10.508 [http-nio-8081-exec-8] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(187) - Finished Spring Data repository scanning in 49ms. Found 1 JPA repository interfaces. 
2020:03:18 18:58:20.849 [http-nio-8081-exec-4] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(127) - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2020:03:18 18:58:20.862 [http-nio-8081-exec-4] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(187) - Finished Spring Data repository scanning in 12ms. Found 0 JPA repository interfaces. 
2020:03:18 19:34:53.420 [http-nio-8081-exec-5] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(127) - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2020:03:18 19:34:53.441 [http-nio-8081-exec-5] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(187) - Finished Spring Data repository scanning in 16ms. Found 0 JPA repository interfaces. 
2020:03:18 19:35:30.769 [http-nio-8081-exec-8] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(127) - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2020:03:18 19:35:30.802 [http-nio-8081-exec-8] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(187) - Finished Spring Data repository scanning in 25ms. Found 0 JPA repository interfaces. 
2020:03:18 19:35:32.299 [http-nio-8081-exec-7] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver.logException(199) - Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; nested exception is java.lang.NumberFormatException: For input string: "NaN"] 
2020:03:18 19:36:15.326 [http-nio-8081-exec-5] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver.logException(199) - Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; nested exception is java.lang.NumberFormatException: For input string: "NaN"] 
2020:03:18 19:38:34.308 [http-nio-8081-exec-2] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver.logException(199) - Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; nested exception is java.lang.NumberFormatException: For input string: "NaN"] 
